IntensityIn IntensityOut Luminance
6.446886446886446187e-02 3.183337148088807300e-01 2.897059845601913253e+01
6.471306471306471908e-02 3.186999313344014428e-01 2.907960174157465971e+01
6.495726495726496241e-02 3.191119249256122448e-01 2.919110474912962871e+01
6.520146520146520575e-02 3.195696955825131358e-01 2.930101838197301944e+01
6.544566544566544908e-02 3.200885023270008123e-01 2.940759312908610212e+01
6.568986568986569241e-02 3.210803387502861317e-01 2.952164619370901022e+01
6.593406593406593574e-02 3.214160372320134518e-01 2.962890626857048204e+01
6.617826617826617908e-02 3.217822537575341646e-01 2.973687533602285171e+01
6.642246642246642241e-02 3.221942473487449665e-01 2.984693436336690198e+01
6.666666666666666574e-02 3.226672770275425539e-01 2.995823442384983437e+01
6.691086691086690907e-02 3.232166018158236231e-01 3.006704710498960509e+01
6.715506715506715241e-02 3.241321431296254052e-01 3.017858887495162179e+01
6.739926739926739574e-02 3.244678416113527253e-01 3.028698531657369841e+01
6.764346764346763907e-02 3.248340581368734381e-01 3.039598920947079108e+01
6.788766788766788240e-02 3.252460517280842400e-01 3.050695574505590812e+01
6.813186813186812574e-02 3.257038223849851311e-01 3.061560701195538314e+01
6.837606837606838295e-02 3.262531471732662003e-01 3.072541313093510240e+01
6.862026862026862628e-02 3.274738689250019097e-01 3.083669629281626001e+01
6.886446886446886961e-02 3.278248264286259261e-01 3.094545845383259319e+01
6.910866910866911295e-02 3.282063019760433353e-01 3.105335491263856085e+01
6.935286935286935628e-02 3.286488136110475300e-01 3.116489525532855964e+01
6.959706959706959961e-02 3.291523613336385101e-01 3.127383222287066289e+01
6.984126984126984294e-02 3.303578240634775232e-01 3.138619201088317823e+01
7.008547008547008628e-02 3.306935225452048432e-01 3.149684878123595411e+01
7.032967032967032961e-02 3.310444800488288597e-01 3.160350201089425326e+01
7.057387057387057294e-02 3.314412146181429653e-01 3.171282795381662467e+01
7.081807081807081627e-02 3.318989852750438563e-01 3.182399476201011623e+01
7.106227106227105961e-02 3.324330510414282291e-01 3.193318848039444902e+01
7.130647130647130294e-02 3.331197070267795657e-01 3.204165720128645489e+01
7.155067155067154627e-02 3.334248874647134930e-01 3.215127047873023969e+01
7.179487179487178961e-02 3.337605859464408131e-01 3.226366540272320549e+01
7.203907203907203294e-02 3.341115434500648296e-01 3.237190928913150145e+01
7.228327228327227627e-02 3.345082780193789351e-01 3.248275275978949139e+01
7.252747252747253348e-02 3.349507896543831298e-01 3.259181355203612895e+01
7.277167277167277681e-02 3.354695963988708063e-01 3.269990458433409231e+01
7.301587301587302015e-02 3.360799572747387165e-01 3.281103374420762009e+01
7.326007326007326348e-02 3.363698786907759475e-01 3.291990703105567206e+01
7.350427350427350681e-02 3.366903181506065712e-01 3.303264190622377328e+01
7.374847374847375014e-02 3.370260166323338913e-01 3.314209809471547175e+01
7.399267399267399348e-02 3.373922331578546041e-01 3.325130895408801024e+01
7.423687423687423681e-02 3.377889677271687097e-01 3.335749344413362394e+01
7.448107448107448014e-02 3.382619974059662971e-01 3.346744816812184808e+01
7.472527472527472348e-02 3.394216830701152210e-01 3.357877656562632751e+01
7.496947496947496681e-02 3.397268635080491483e-01 3.368803147816598909e+01
7.521367521367521014e-02 3.400625619897764684e-01 3.379959867869582979e+01
7.545787545787545347e-02 3.404135194934004849e-01 3.390649220889251581e+01
7.570207570207569681e-02 3.408255130846112868e-01 3.401913674972384172e+01
7.594627594627594014e-02 3.412832837415121778e-01 3.412787228130127204e+01
7.619047619047619735e-02 3.424734874494544945e-01 3.424001841566606430e+01
7.643467643467644068e-02 3.427634088654917255e-01 3.434514625965191215e+01
7.667887667887668401e-02 3.430991073472190456e-01 3.445829363334708972e+01
7.692307692307692735e-02 3.434500648508430620e-01 3.456664258290192038e+01
7.716727716727717068e-02 3.438467994201571676e-01 3.467676553758670366e+01
7.741147741147741401e-02 3.442893110551613622e-01 3.478397273652135624e+01
7.765567765567765735e-02 3.448386358434424315e-01 3.489391538633001488e+01
7.789987789987790068e-02 3.453727016098268043e-01 3.500435902666906429e+01
7.814407814407814401e-02 3.456778820477607317e-01 3.511722491891819686e+01
7.838827838827838734e-02 3.459983215075913554e-01 3.522735895509985937e+01
7.863247863247863068e-02 3.463340199893186755e-01 3.533344651785198209e+01
7.887667887667887401e-02 3.467154955367360847e-01 3.544235086264997392e+01
7.912087912087911734e-02 3.471580071717402793e-01 3.555300627196783125e+01
7.936507936507936067e-02 3.476920729381246522e-01 3.566392096991199878e+01
7.960927960927960401e-02 3.483634699015792924e-01 3.577502340400621250e+01
7.985347985347984734e-02 3.486533913176165234e-01 3.588346625643190180e+01
8.009768009768009067e-02 3.489738307774471471e-01 3.599498113342902172e+01
8.034188034188034788e-02 3.493095292591744672e-01 3.610232194334228950e+01
8.058608058608059121e-02 3.496910048065918764e-01 3.621240912847131455e+01
8.083028083028083455e-02 3.501182574196993746e-01 3.632054946411426499e+01
8.107448107448107788e-02 3.506370641641870511e-01 3.643013140745803469e+01
8.131868131868132121e-02 3.515831235217822814e-01 3.654054313012701982e+01
8.156288156288156455e-02 3.518883039597162088e-01 3.665427549658903672e+01
8.180708180708180788e-02 3.521934843976501361e-01 3.675987715823481494e+01
8.205128205128205121e-02 3.525444419012741526e-01 3.687117396539740355e+01
8.229548229548229454e-02 3.529259174486915618e-01 3.697972702413093060e+01
8.253968253968253788e-02 3.533684290836957564e-01 3.708928941246323063e+01
8.278388278388278121e-02 3.539024948500801293e-01 3.719790676564358023e+01
8.302808302808302454e-02 3.550164034485389641e-01 3.731247240920343700e+01
8.327228327228326787e-02 3.553215838864728915e-01 3.742082117456747170e+01
8.351648351648351121e-02 3.556572823682002116e-01 3.753035525412590800e+01
8.376068376068375454e-02 3.560234988937209244e-01 3.763821440186451639e+01
8.400488400488401175e-02 3.564507515068284227e-01 3.774857090408188043e+01
8.424908424908425508e-02 3.569542992294194028e-01 3.785704202133747032e+01
8.449328449328449842e-02 3.579308766308079703e-01 3.796956458039358040e+01
8.473748473748474175e-02 3.582207980468452013e-01 3.807878528599016477e+01
8.498168498168498508e-02 3.585259784847791287e-01 3.818549046287100879e+01
8.522588522588522841e-02 3.588769359884031451e-01 3.829763005896505490e+01
8.547008547008547175e-02 3.592584115358205543e-01 3.840658100042581680e+01
8.571428571428571508e-02 3.597009231708247490e-01 3.851592797809568225e+01
8.595848595848595841e-02 3.607995727473868874e-01 3.862514883860798420e+01
8.620268620268620174e-02 3.610742351415274221e-01 3.873564618224035883e+01
8.644688644688644508e-02 3.613641565575646530e-01 3.884474078021513321e+01
8.669108669108668841e-02 3.616845960173952768e-01 3.895622833877406777e+01
8.693528693528693174e-02 3.620202944991225968e-01 3.906269833459624863e+01
8.717948717948717507e-02 3.624170290684367024e-01 3.917478482805896078e+01
8.742368742368741841e-02 3.628747997253375934e-01 3.928545668701758586e+01
8.766788766788766174e-02 3.637140459296558936e-01 3.939576135972571080e+01
